Perusahaan;Total Reports;Unique Reporters;Avg Quality Score;Unsafe Findings;Avg Risk Score;Reports per Person;Detection Rate (%);Category;Volume Score;Quality Score Norm;Participation Score;Composite Score;Rank;Tier
PT PLN NP SERVICES;1836;278;2.2777777777777777;402;1.2320261437908497;6.6;21.9;PLN_NPS;100.0;45.55555555555556;68.75;68.84722222222223;1;GOLD
PT GARDA BANGSA SECURINDO;809;84;2.6835599505562424;313;1.719406674907293;9.6;38.7;VENDOR_LAIN;44.06318082788671;53.67119901112485;100.0;64.68743385281596;2;GOLD
PT RBU;1000;152;2.075;98;1.044;6.6;9.8;VENDOR_LAIN;54.46623093681917;41.5;68.75;53.56486928104575;3;SILVER
PT MKP;725;105;2.0317241379310347;153;1.2179310344827585;6.9;21.1;MKP;39.4880174291939;40.63448275862069;71.87500000000001;49.662698332206446;4;SILVER
PT PLN NUSANTARA POWER;165;33;3.6121212121212123;61;1.387878787878788;5.0;37.0;PLN_NP_ORGANIK;8.986928104575163;72.24242424242424;52.083333333333336;47.21804812834225;5;BRONZE
PT ADHI GUNA PUTERA;287;42;1.8989547038327526;39;1.3449477351916377;6.8;13.6;VENDOR_LAIN;15.631808278867101;37.97909407665505;70.83333333333334;41.131180114322156;6;BRONZE
PT PANDU NUSA ENGINEERING;69;13;2.6666666666666665;28;1.6231884057971016;5.3;40.6;VENDOR_LAIN;3.758169934640523;53.333333333333336;55.208333333333336;39.0232843137255;7;STANDARD
PT DES;496;93;1.7681451612903225;101;1.1048387096774193;5.3;20.4;VENDOR_LAIN;27.01525054466231;35.362903225806456;55.208333333333336;38.812236453721276;8;STANDARD
PT CAHAYA BOGEG UTAMA;138;23;1.818840579710145;33;1.1666666666666667;6.0;23.9;VENDOR_LAIN;7.516339869281046;36.3768115942029;62.5;35.55562659846547;9;STANDARD
